# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct 28 09:15:11 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_orblpererr1: Argument of Periastron Upper Unc. [deg]
# COLUMN pl_orblpererr2: Argument of Periastron Lower Unc. [deg]
# COLUMN pl_orblperlim:  Argument of Periastron Limit Flag
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN pl_trueobliqerr1: True Obliquity Upper Unc. [deg]
# COLUMN pl_trueobliqerr2: True Obliquity Lower Unc. [deg]
# COLUMN pl_trueobliqlim: True Obliquity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
K2-101 b,K2-101,1,1,Transit,2016,K2,0,14.67624290,0.00002010,-0.00002030,0,0.112400,0.009500,-0.023900,0,2.000,0.140,-0.070,0,4.66000,,,0,3.200000,,,0,0.100000,0.180000,-0.080000,0,,,,,618,9,-25,0,89.260,0.070,-0.070,0,0.0000,152.0000,-118.0000,0,,,,,K3,4927.00,47.00,-46.00,0,0.76,0.01,-0.01,0,0.82,0.02,-0.03,0,0.070,0.070,-0.070,0,-0.595,0.016,-0.016,0,4.59,0.01,-0.02,0,0.790,0.030,-0.030,0,2.92000,0.38000,-0.39000,0,10.60,0.60,-0.60,0,130.3439097,18.9338205,188.3300000,2.1280000,-2.0820000,12.8920000,0.1140000,-0.1140000,10.5360000,0.0190000,-0.0190000,12.6619000,0.0004700,-0.0004700
K2-102 b,K2-102,1,1,Transit,2016,K2,0,9.91561500,0.00120900,-0.00119500,0,,,,,1.300,0.100,-0.100,0,2.24000,,,0,5.600000,,,0,0.100000,0.160000,-0.070000,0,,,,,,,,,89.000,0.600,-0.600,0,-1.0000,136.0000,-132.0000,0,,,,,K5,4695.00,50.00,-50.00,0,0.71,0.03,-0.03,0,0.77,0.06,-0.06,0,0.140,0.040,-0.040,0,-0.657,0.016,-0.016,0,4.53,0.11,-0.08,0,0.790,0.030,-0.030,0,3.03000,0.38000,-0.38000,0,11.50,0.70,-0.70,0,130.0558953,19.7787519,188.1750000,2.0650000,-2.0220000,13.0830000,0.1030000,-0.1030000,10.6400000,0.0200000,-0.0200000,12.8466000,0.0006020,-0.0006020
K2-104 b,K2-104,1,1,Transit,2016,K2,0,1.97419540,0.00000240,-0.00000240,0,0.024200,0.002200,-0.005500,0,1.790,0.100,-0.060,0,3.86000,,,0,3.700000,,,0,0.090000,0.167783,-0.072670,0,62.10,16.00,-13.80,0,798,9,-39,0,88.750,0.450,-0.450,0,0.0000,155.0000,-63.0000,0,,,,,M2.5e,3712.00,54.00,-76.00,0,0.48,0.01,-0.01,0,0.51,0.02,-0.02,0,0.180,0.090,-0.100,0,-1.434,0.014,-0.014,0,4.78,0.02,-0.02,0,0.790,0.030,-0.030,0,5.56106,0.31305,-0.31305,0,9.30,0.40,-0.40,0,129.6366594,19.7737202,189.2890000,3.9960000,-3.8370000,15.9890000,0.2060000,-0.2060000,12.0140000,0.0210000,-0.0210000,15.3955000,0.0006060,-0.0006060
K2-105 b,K2-105,1,1,Transit,2017,K2,0,8.26699280,0.00000700,-0.00000670,0,0.083300,0.003900,-0.011600,0,3.590,0.110,-0.070,0,30.00000,19.00000,-19.00000,0,3.560000,,,0,,,,,95.58,,,0,928,1,-23,0,88.865,0.739,-0.939,0,,,,,,,,,K1,5636.00,49.00,-52.00,0,0.97,0.01,-0.01,0,1.05,0.02,-0.02,0,0.230,0.040,-0.030,0,-0.189,0.016,-0.011,0,4.49,0.01,-0.01,0,0.600,,,-1,1.72948,0.46770,-0.37425,0,,,,,125.4202985,13.4975122,197.9890000,1.5550000,-1.5300000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080
K2-107 b,K2-107,1,1,Transit,2017,K2,0,3.31395900,0.00002400,-0.00002400,0,0.047500,0.000600,-0.000600,0,15.980,0.550,-0.550,0,266.97720,25.42640,-25.42640,0,0.350000,0.100000,-0.100000,0,0.000000,,,0,,,,,1649,39,-39,0,82.361,0.336,-0.263,0,,,,,,,,,F9 IV,6061.00,96.00,-96.00,0,1.81,0.06,-0.06,0,1.30,0.05,-0.05,0,0.140,0.060,-0.060,0,0.464,0.019,-0.020,0,4.04,0.03,-0.03,0,4.250,1.750,-1.750,0,0.45700,0.05900,-0.05500,0,,,,,284.9853550,-22.2934206,685.2000000,20.5020000,-19.3640000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380
K2-108 b,K2-108,1,1,Transit,2017,K2,0,4.73399900,0.00022100,-0.00022700,0,0.058100,0.000900,-0.000900,0,5.330,0.210,-0.210,0,59.40000,4.40000,-4.40000,0,2.220000,0.770000,-0.550000,0,0.180000,0.042000,-0.042000,0,762.00,100.00,-100.00,0,1360,29,-29,0,86.135,2.727,-4.000,0,,,,,,,,,,5599.00,87.00,-87.00,0,1.76,0.04,-0.04,0,1.17,0.06,-0.06,0,0.360,0.050,-0.050,0,0.405,0.018,-0.025,0,4.02,0.03,-0.03,0,7.800,1.500,-1.500,0,0.80600,0.23500,-0.19500,0,,,,,123.3818484,16.4195160,477.2950000,10.0940000,-9.6920000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010
K2-11 b,K2-11,1,1,Transit,2015,K2,0,39.93767000,0.23229000,-0.23229000,0,0.225700,0.014300,-0.014300,0,7.550,9.330,-9.330,0,44.40000,,,0,0.567000,,,0,,,,,9.84,0.73,-0.73,0,734,253,-253,0,,,,,,,,,,,,,G8,5433.00,49.00,-144.00,0,5.15,0.20,-4.39,0,1.35,0.04,-0.56,0,-0.120,0.010,-0.170,0,-0.310,0.009,-0.009,0,4.56,0.02,-0.02,0,,,,,2.11399,0.53616,-0.33853,0,,,,,169.0418328,1.9866832,329.3090000,2.6820000,-2.6410000,13.4090000,0.1030000,-0.1030000,11.3470000,0.0220000,-0.0220000,13.1501000,0.0002790,-0.0002790
K2-110 b,K2-110,1,1,Transit,2017,K2,0,13.86387000,0.00032500,-0.00032900,0,0.102700,0.001100,-0.001100,0,2.560,0.070,-0.070,0,16.70000,3.20000,-3.20000,0,5.200000,1.200000,-1.200000,0,0.079000,0.070000,-0.070000,0,,,,,575,8,-8,0,89.350,0.410,-0.240,0,90.0000,180.0000,-64.0000,0,,,,,K3 V,4950.00,58.00,-58.00,0,0.71,0.01,-0.01,0,0.75,0.02,-0.02,0,-0.210,0.050,-0.050,0,-0.567,0.020,-0.019,0,4.61,0.02,-0.02,0,8.000,3.000,-3.000,0,3.51500,0.83700,-0.72300,0,,,,,207.3497402,-12.2849182,116.4740000,0.4310000,-0.4270000,11.9850000,0.0460000,-0.0460000,9.6070000,0.0240000,-0.0240000,11.6627000,0.0002400,-0.0002400
K2-111 b,K2-111,1,2,Transit,2017,K2,0,5.35180000,0.00040000,-0.00040000,0,0.057000,0.001200,-0.001200,0,1.820,0.110,-0.090,0,5.29000,0.76000,-0.77000,0,4.800000,1.000000,-1.000000,0,0.130000,0.130000,-0.090000,0,,,,,1309,71,-63,0,86.430,0.370,-0.210,0,-69.3000,73.9000,-27.5000,0,,,,,G2,5775.00,60.00,-60.00,0,1.25,0.02,-0.02,0,0.84,0.02,-0.02,0,-0.460,0.050,-0.050,0,0.279,0.083,-0.103,0,4.25,0.15,-0.15,0,12.300,0.700,-0.700,0,0.60000,0.03000,-0.03000,0,29.20,0.80,-0.80,0,59.8903081,21.2985263,200.3940000,2.7630000,-2.6900000,11.1300000,0.0340000,-0.0340000,9.3770000,0.0210000,-0.0210000,10.9294000,0.0006210,-0.0006210
K2-111 c,K2-111,1,2,Radial Velocity,2020,Multiple Observatories,0,15.67850000,0.00640000,-0.00630000,0,0.116600,0.002500,-0.002500,0,3.370,,,0,11.30000,1.10000,-1.10000,0,1.620000,,,0,0.070000,0.070000,-0.050000,0,,,,,,,,,,,,,-79.6000,96.3000,-150.1000,0,,,,,G2,5775.00,60.00,-60.00,0,1.25,0.02,-0.02,0,0.84,0.02,-0.02,0,-0.460,0.050,-0.050,0,0.119,0.008,-0.008,0,4.25,0.15,-0.15,0,12.300,0.700,-0.700,0,0.60000,0.03000,-0.03000,0,29.20,0.80,-0.80,0,59.8903081,21.2985263,200.3940000,2.7630000,-2.6900000,11.1300000,0.0340000,-0.0340000,9.3770000,0.0210000,-0.0210000,10.9294000,0.0006210,-0.0006210
K2-113 b,K2-113,1,1,Transit,2017,K2,0,5.81768500,0.00004100,-0.00004100,0,0.064200,0.000900,-0.000900,0,12.140,0.350,-0.350,0,410.00070,41.31790,-44.49620,0,1.970000,0.610000,-0.530000,0,0.000000,,,0,170.93,,,0,1098,23,-23,0,86.210,0.200,-0.210,0,,,,,,,,,G,5660.00,87.00,-87.00,0,1.24,0.03,-0.03,0,1.04,0.04,-0.04,0,0.270,0.060,-0.060,0,0.009,0.092,-0.084,0,4.27,0.03,-0.03,0,5.900,2.700,-3.400,0,0.98700,0.14500,-0.13000,0,,,,,19.4493823,6.8688469,635.7220000,13.4300000,-13.4300000,13.7440000,0.0920000,-0.0920000,11.9490000,0.0210000,-0.0210000,13.5039000,0.0003120,-0.0003120
K2-114 b,K2-114,1,1,Transit,2017,K2,0,11.39093110,0.00000340,-0.00000340,0,0.094300,0.001400,-0.001200,0,10.447,0.347,-0.347,0,638.83510,38.13941,-38.13941,0,3.080000,0.370000,-0.330000,0,0.081000,0.031000,-0.030000,0,40.00,3.30,-3.10,0,701,14,-14,0,89.210,0.220,-0.140,0,-51.0000,21.0000,-13.0000,0,,,,,,4920.00,68.00,-69.00,0,0.82,0.02,-0.02,0,0.86,0.04,-0.03,0,0.410,0.036,-0.037,0,-0.445,0.037,-0.038,0,4.54,0.03,-0.03,0,7.200,4.300,-4.500,0,2.17000,0.18000,-0.17000,0,,,,,127.8829120,11.9222550,475.7580000,8.2520000,-7.9800000,14.5500000,0.2170000,-0.2170000,12.3040000,0.0290000,-0.0290000,14.2751000,0.0003010,-0.0003010
K2-115 b,K2-115,1,1,Transit,2017,K2,0,20.27261500,0.00035600,-0.00034300,0,0.143000,0.001200,-0.001200,0,12.060,0.220,-0.220,0,266.97720,57.20940,-63.56600,0,0.820000,0.300000,-0.240000,0,0.137000,0.072000,-0.074000,0,33.06,,,0,619,8,-8,0,88.820,0.150,-0.150,0,104.0000,41.0000,-52.0000,0,,,,,G4,5657.00,60.00,-60.00,0,0.88,0.01,-0.01,0,0.95,0.02,-0.02,0,-0.100,0.050,-0.050,0,-0.145,0.016,-0.018,0,4.53,0.02,-0.02,0,10.700,1.700,-4.200,0,2.66300,0.37200,-0.33800,0,,,,,126.5535002,12.2818510,413.5910000,4.3120000,-4.2250000,13.4440000,0.1140000,-0.1140000,11.7240000,0.0180000,-0.0180000,13.2000000,0.0002520,-0.0002520
K2-116 b,K2-116,1,1,Transit,2017,K2,0,4.65541100,0.00048600,-0.00047300,0,0.048000,0.002000,-0.002000,0,0.690,0.040,-0.040,0,0.25700,,,0,4.300000,,,0,0.060000,0.141966,-0.053272,0,78.60,12.20,-10.50,0,,,,,89.090,0.620,-0.710,0,-23.4400,137.1911,-116.7845,0,,,,,,4348.35,86.10,-87.78,0,0.67,0.03,-0.03,0,0.69,0.07,-0.07,0,0.010,0.080,-0.080,0,-0.746,0.002,-0.002,0,4.64,0.10,-0.10,0,,,,,2.18936,0.77567,-0.60334,0,,,,,336.1523363,-11.5793181,49.3855000,0.1247000,-0.1240000,10.8000000,0.0300000,-0.0300000,7.8750000,0.0270000,-0.0270000,10.3281000,0.0010470,-0.0010470
K2-117 b,K2-117,1,2,Transit,2017,K2,0,1.29160000,0.00004900,-0.00005100,0,0.018900,0.000100,-0.000100,0,2.030,0.100,-0.100,0,4.78000,,,0,3.140000,,,0,0.060000,0.138304,-0.053132,0,145.80,21.50,-18.90,0,868,14,-14,0,88.360,1.140,-1.370,0,-22.6300,136.8295,-118.2304,0,,,,,M1.0 V,3778.00,53.00,-53.00,0,0.51,0.01,-0.01,0,0.54,0.01,-0.01,0,-0.050,0.130,-0.130,0,-1.357,0.081,-0.099,0,4.75,0.01,-0.01,0,,,,,5.29700,0.26749,-0.26749,0,,,,,133.8557342,10.4692176,101.6320000,0.3740000,-0.3720000,14.6390000,0.1490000,-0.1490000,10.5890000,0.0250000,-0.0250000,13.8012000,0.0002430,-0.0002430
K2-117 c,K2-117,1,2,Transit,2017,K2,0,5.44401700,0.00046200,-0.00045500,0,0.049200,0.000300,-0.000300,0,2.060,0.120,-0.120,0,4.90000,,,0,3.080000,,,0,0.150000,0.178886,-0.115822,0,21.40,3.20,-2.80,0,537,9,-9,0,89.490,0.360,-0.480,0,-77.0600,61.8212,-61.7988,0,,,,,M1.0 V,3778.00,53.00,-53.00,0,0.51,0.01,-0.01,0,0.54,0.01,-0.01,0,-0.050,0.130,-0.130,0,-1.357,0.081,-0.099,0,4.75,0.01,-0.01,0,,,,,5.29700,0.26749,-0.26749,0,,,,,133.8557342,10.4692176,101.6320000,0.3740000,-0.3720000,14.6390000,0.1490000,-0.1490000,10.5890000,0.0250000,-0.0250000,13.8012000,0.0002430,-0.0002430
K2-118 b,K2-118,1,1,Transit,2017,K2,0,50.92092000,0.00558400,-0.00524900,0,0.245000,0.008000,-0.008000,0,2.540,0.230,-0.200,0,6.99000,,,0,2.340000,,,0,0.200000,0.183774,-0.159064,0,4.30,0.60,-0.60,0,,,,,89.500,0.240,-0.120,0,58.6700,75.8575,-123.4359,0,,,,,,4726.29,142.64,-127.34,0,0.73,0.05,-0.04,0,0.76,0.08,-0.08,0,0.129,0.079,-0.079,0,-0.561,0.012,-0.012,0,4.53,,,0,,,,,2.22691,,,0,,,,,132.1268608,15.6558964,321.7220000,3.7605000,-3.7605000,14.0000000,0.0800000,-0.0800000,11.6540000,0.0190000,-0.0190000,13.7484000,0.0002080,-0.0002080
K2-119 b,K2-119,1,1,Transit,2017,K2,0,7.72728300,0.00126800,-0.00114900,0,0.069800,0.000600,-0.000600,0,2.530,0.200,-0.200,0,6.94000,,,0,2.350000,,,0,0.070000,0.151978,-0.057297,0,54.90,9.60,-8.80,0,666,15,-15,0,89.400,0.420,-0.510,0,-37.7100,135.3593,-104.6704,0,,,,,,4740.00,100.00,-100.00,0,0.71,0.01,-0.01,0,0.76,0.02,-0.02,0,-0.050,0.120,-0.120,0,-0.685,,,0,4.62,0.01,-0.01,0,,,,,2.25100,1.41100,-0.99500,0,,,,,132.0098683,16.9017663,365.5810000,4.3700000,-4.2700000,14.8180000,0.1720000,-0.1720000,12.1740000,0.0200000,-0.0200000,14.5103000,0.0002850,-0.0002850
K2-12 b,K2-12,1,1,Transit,2015,K2,0,8.28212000,0.00060000,-0.00060000,0,0.080200,0.002100,-0.002100,0,2.330,0.580,-0.580,0,6.04000,,,0,2.620000,,,0,,,,,310.00,178.00,-178.00,0,1003,121,-121,0,87.608,1.761,-5.369,0,,,,,,,,,F9,5800.00,53.00,-90.00,0,1.01,0.27,-0.09,0,1.01,0.05,-0.06,0,0.030,0.130,-0.170,0,0.072,0.011,-0.011,0,4.30,0.10,-0.10,0,,,,,0.84625,0.17588,-0.18260,0,,,,,173.1919022,2.2446794,326.3810000,6.2820000,-6.0530000,12.3800000,0.1030000,-0.1030000,10.6050000,0.0240000,-0.0240000,12.0884000,0.0003310,-0.0003310
K2-120 b,K2-120,1,1,Transit,2017,K2,0,9.56274200,0.00067500,-0.00067300,0,0.078000,0.003000,-0.003000,0,2.010,0.130,-0.120,0,4.70000,,,0,3.180000,,,0,0.140000,0.168421,-0.105016,0,35.10,5.90,-5.10,0,,,,,89.570,0.300,-0.420,0,-81.1900,59.6501,-60.7572,0,,,,,,4349.90,101.62,-96.12,0,0.67,0.04,-0.03,0,0.69,0.07,-0.07,0,-0.303,0.059,-0.059,0,-0.664,0.008,-0.009,0,,,,,,,,,,,,,,,,,132.1428530,17.1905813,289.5438740,2.3252793,-2.3252793,14.0920000,0.2860000,-0.2860000,11.3880000,0.0260000,-0.0260000,13.9329138,,
K2-121 b,K2-121,1,1,Transit,2017,K2,0,5.18575390,0.00000060,-0.00000050,0,0.062900,0.003300,-0.004300,0,7.520,0.220,-0.180,0,44.10000,,,0,0.570000,,,0,0.220000,0.194341,-0.183890,0,89.50,12.50,-11.20,0,738,7,-19,0,89.027,0.568,-0.538,0,72.9700,64.8569,-104.5057,0,,,,,,4690.00,43.00,-41.00,0,0.67,0.01,-0.01,0,0.69,0.03,-0.03,0,-0.160,0.050,-0.060,0,-0.745,0.024,-0.020,0,4.63,0.02,-0.02,0,,,,,6.53200,0.65800,-0.62000,0,,,,,126.9366624,17.5793267,169.3980000,1.0610000,-1.0480000,13.2290000,0.0800000,-0.0800000,10.6160000,0.0180000,-0.0180000,12.9247000,0.0005570,-0.0005570
K2-122 b,K2-122,2,1,Transit,2017,K2,0,2.21930230,0.00000200,-0.00000200,0,0.037300,0.003800,-0.009500,0,1.160,0.100,-0.050,0,1.65000,,,0,5.810000,,,0,0.210000,0.182563,-0.167694,0,79.90,13.10,-11.10,0,769,20,-37,0,86.390,1.410,-0.630,0,60.8000,74.0630,-117.8492,0,,,,,M0,4009.00,47.00,-44.00,0,0.59,0.01,-0.01,0,0.63,0.02,-0.02,0,0.320,0.060,-0.070,0,-1.102,0.085,-0.105,0,4.69,0.01,-0.01,0,,,,,3.65184,0.20026,-0.20026,0,,,,,126.4762179,20.3593384,72.0444000,0.2532000,-0.2532000,13.1050000,0.0630000,-0.0630000,9.2750000,0.0180000,-0.0180000,12.3708000,0.0002520,-0.0002520
K2-123 b,K2-123,1,1,Transit,2017,K2,0,30.95152400,0.00362500,-0.00332000,0,0.164900,0.000800,-0.000800,0,2.760,0.160,-0.160,0,8.05000,,,0,2.100000,,,0,0.060000,0.144415,-0.051458,0,2.90,0.50,-0.40,0,338,5,-5,0,89.790,0.140,-0.170,0,-33.5300,134.1328,-109.3743,0,,,,,,4035.00,52.00,-52.00,0,0.59,0.01,-0.01,0,0.62,0.01,-0.01,0,0.030,0.110,-0.110,0,-1.143,0.087,-0.109,0,4.69,0.01,-0.01,0,,,,,4.51100,2.21300,-1.64700,0,,,,,134.4441404,21.4532748,161.5550000,0.6520000,-0.6520000,14.7810000,0.0340000,-0.0340000,11.0550000,0.0220000,-0.0220000,14.0916000,0.0003060,-0.0003060
K2-124 b,K2-124,1,1,Transit,2017,K2,0,6.41365100,0.00003600,-0.00003100,0,0.049000,0.002000,-0.002000,0,2.900,0.100,-0.100,0,8.75000,,,0,1.970000,,,0,0.080000,0.155190,-0.066630,0,8.70,1.20,-1.10,0,442,17,-17,0,89.030,0.320,-0.270,0,-26.8000,137.5335,-110.8238,0,,,,,,3570.00,63.00,-70.00,0,0.39,0.02,-0.01,0,0.39,0.01,-0.04,0,0.023,0.061,-0.106,0,-1.659,0.094,-0.121,0,4.86,0.01,-0.09,0,,,,,9.58000,0.47000,-2.12000,0,,,,,133.6410515,23.1329509,140.3850000,1.3200000,-1.2960000,16.6920000,0.1830000,-0.1830000,11.9750000,0.0180000,-0.0180000,15.4618000,0.0005300,-0.0005300
K2-125 b,K2-125,1,1,Transit,2017,K2,0,21.75026400,0.00199000,-0.00195700,0,0.121000,0.004000,-0.005000,0,2.180,0.190,-0.180,0,5.39000,,,0,2.860000,,,0,0.080000,0.161049,-0.066906,0,2.00,0.30,-0.30,0,,,,,89.720,0.190,-0.210,0,-3.7400,128.5850,-127.4596,0,,,,,,3654.47,99.56,-92.33,0,0.40,0.03,-0.03,0,0.49,0.05,-0.06,0,,,,,-1.641,0.093,-0.118,0,4.83,0.00,0.00,0,,,,,8.77693,0.33772,-0.33772,0,,,,,204.1418754,-14.9478195,124.1560000,0.8300000,-0.8300000,16.4000000,0.2000000,-0.2000000,11.8020000,0.0230000,-0.0230000,15.1508000,0.0006330,-0.0006330
