# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 26 03:59:46 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
#
pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2
HD 168009 b,HD 168009,b,1,1,0,0,Radial Velocity,2021,Multiple Observatories,0,15.14790000,0.00350000,-0.00370000,0,0.119200,0.001700,-0.001800,0,3.050,,,0,9.53485,1.20775,-1.17597,0,1.850000,,,0,0.120000,0.110000,-0.082000,0,,,,,,,,,G2V,5778.33,94.42,-94.42,0,1.21,0.03,-0.03,0,0.99,0.04,-0.04,0,4.27,0.03,-0.03,0,9.680,1.320,-1.280,0,273.8847918,45.2088229,23.3032000,0.0118000,-0.0118000,6.2950000,0.0060000,-0.0060000,4.7560000,0.0210000,-0.0210000
HD 168443 b,HD 168443,b,1,2,0,0,Radial Velocity,1998,W. M. Keck Observatory,0,58.11187301,0.00023679,-0.00017663,0,0.292241,0.011458,-0.012286,0,12.600,,,0,2422.83767,194.03339,-199.65335,0,6.660000,,,0,0.529979,0.001576,-0.001058,0,,,,,,,,,G5,5491.00,44.00,-44.00,0,1.71,0.04,-0.04,0,0.98,0.12,-0.12,0,3.99,0.02,-0.02,0,11.080,0.720,-0.640,0,275.0159879,-9.5966905,39.6245000,0.1224000,-0.1217000,6.9212200,0.0230000,-0.0230000,5.2110000,0.0150000,-0.0150000
HD 168443 c,HD 168443,c,1,2,0,0,Radial Velocity,2000,W. M. Keck Observatory,0,1753.10959642,0.77149191,-0.72041887,0,2.840843,0.111162,-0.118920,0,12.200,,,0,5733.43678,577.62959,-520.78307,0,17.400000,,,0,0.209760,0.001872,-0.002763,0,,,,,91.218,22.283,-16.088,0,G5,5491.00,44.00,-44.00,0,1.71,0.04,-0.04,0,0.98,0.12,-0.12,0,3.99,0.02,-0.02,0,11.080,0.720,-0.640,0,275.0159879,-9.5966905,39.6245000,0.1224000,-0.1217000,6.9212200,0.0230000,-0.0230000,5.2110000,0.0150000,-0.0150000
HD 168746 b,HD 168746,b,1,1,0,0,Radial Velocity,2002,La Silla Observatory,0,6.40400000,0.00140000,-0.00140000,0,0.070000,0.000000,0.000000,0,11.100,,,0,85.81410,6.35660,-6.35660,0,0.345000,,,0,0.110000,0.080000,-0.080000,0,900,,,0,,,,,G5,5570.00,12.00,-12.00,0,1.09,0.02,-0.02,0,1.07,0.06,-0.06,0,4.39,0.02,-0.02,0,8.000,3.000,-4.000,0,275.4573269,-11.9229757,41.5681000,0.1000000,-0.0995000,7.9500000,0.0300000,-0.0300000,6.2530000,0.0240000,-0.0240000
HD 168863 b,HD 168863,b,1,1,0,0,Radial Velocity,2022,Multiple Observatories,0,14773.93271605,8638.61024425,-2644.05862595,0,10.932103,3.826835,-1.394222,0,12.700,,,0,2146.32971,362.64991,-339.91632,0,5.760000,,,0,0.186773,0.181359,-0.063751,0,,,,,129.839,5.088,-7.609,0,,4905.00,170.10,-153.97,0,0.78,0.06,-0.07,0,0.80,0.10,-0.10,0,4.56,0.10,-0.12,0,,,,,275.6642157,-18.0219726,39.8979000,0.0924000,-0.0919000,9.3500000,0.0300000,-0.0300000,7.0400000,0.0210000,-0.0210000
HD 1690 b,HD 1690,b,1,1,0,0,Radial Velocity,2010,La Silla Observatory,0,533.00000000,1.70000000,-1.70000000,0,1.360000,0.090000,-0.090000,0,12.500,,,0,2793.72570,1153.72290,-1153.72290,0,7.860000,,,0,0.640000,0.040000,-0.040000,0,,,,,,,,,K1 III,4374.00,31.00,-31.00,0,21.66,6.18,-6.18,0,1.86,1.06,-1.06,0,2.04,0.03,-0.03,0,6.700,3.200,-3.200,0,5.3055886,-8.2811442,752.6150000,27.8940000,-27.8940000,9.1900000,0.0300000,-0.0300000,6.0180000,0.0260000,-0.0260000
HD 16905 b,HD 16905,b,1,1,0,0,Radial Velocity,2022,Multiple Observatories,0,6707.49126331,2780.30613563,-544.63200350,0,6.469422,1.564870,-0.467688,0,12.500,,,0,2885.45006,413.01236,-453.52333,0,8.120000,,,0,0.664501,0.061470,-0.072439,0,,,,,19.657,3.333,-1.945,0,,4866.12,140.40,-149.78,0,0.77,0.06,-0.06,0,0.79,0.10,-0.10,0,4.56,0.10,-0.11,0,,,,,40.0136203,-61.3550396,39.7401000,0.0452000,-0.0452000,9.4400000,0.0300000,-0.0300000,7.0860000,0.0180000,-0.0180000
HD 169830 b,HD 169830,b,1,2,0,0,Radial Velocity,2000,La Silla Observatory,0,225.67371788,0.05685374,-0.06499932,0,0.764552,0.033119,-0.035859,0,13.200,,,0,803.57766,71.85754,-74.60338,0,1.920000,,,0,0.293956,0.011535,-0.011471,0,345,65,-65,0,,,,,F8 V,6300.00,50.00,-50.00,0,1.94,0.05,-0.05,0,1.17,0.16,-0.16,0,4.01,0.02,-0.02,0,2.800,,,0,276.9561859,-29.8167919,37.6048000,0.1484000,-0.1473000,5.9000000,0.0300000,-0.0300000,4.6880000,0.0240000,-0.0240000
HD 169830 c,HD 169830,c,1,2,0,0,Radial Velocity,2003,La Silla Observatory,0,1818.82339336,5.67578182,-6.41837875,0,3.073402,0.133927,-0.143845,0,12.700,,,0,2259.86363,793.20078,-698.07169,0,6.060000,,,0,0.246156,0.022490,-0.017622,0,,,,,24.469,12.739,-7.205,0,F8 V,6179.26,97.58,-97.58,0,1.94,0.05,-0.05,0,1.17,0.16,-0.16,0,4.01,0.02,-0.02,0,2.800,,,0,276.9561859,-29.8167919,37.6048000,0.1484000,-0.1473000,5.9000000,0.0300000,-0.0300000,4.6880000,0.0240000,-0.0240000
HD 170469 b,HD 170469,b,2,1,0,0,Radial Velocity,2007,W. M. Keck Observatory,0,1145.00000000,18.00000000,-18.00000000,0,2.240000,0.050000,-0.050000,0,14.100,,,0,209.76780,34.96130,-34.96130,0,0.411000,,,0,0.110000,0.080000,-0.080000,0,,,,,,,,,G5 IV,5842.00,28.00,-28.00,0,1.24,0.02,-0.02,0,1.10,0.08,-0.08,0,4.30,0.03,-0.03,0,6.700,0.600,-0.900,0,277.2955423,11.6954244,60.1780000,0.1491000,-0.1484000,8.2100000,0.0300000,-0.0300000,6.7070000,0.0180000,-0.0180000
HD 17092 b,HD 17092,b,1,1,0,0,Radial Velocity,2007,McDonald Observatory,0,359.89999000,2.40000000,-2.40000000,0,1.310000,0.060000,-0.060000,0,12.500,,,0,3219.61790,727.83070,-727.83070,0,9.060000,,,0,0.170000,0.050000,-0.050000,0,,,,,,,,,K0 III,4326.00,148.00,-148.00,0,13.58,1.27,-1.27,0,6.73,2.24,-2.24,0,3.00,0.12,-0.12,0,2.600,0.900,-0.900,0,41.5924261,49.6530375,228.4220000,2.7130000,-2.7130000,7.7320000,0.0020000,-0.0020000,4.8070000,0.0160000,-0.0160000
HD 171028 b,HD 171028,b,1,1,0,0,Radial Velocity,2007,La Silla Observatory,0,550.00000000,3.00000000,-3.00000000,0,1.320000,0.030000,-0.030000,0,13.200,,,0,832.71460,50.85280,-50.85280,0,1.990000,,,0,0.590000,0.010000,-0.010000,0,,,,,,,,,G0,5671.00,16.00,-16.00,0,2.47,0.07,-0.07,0,1.53,0.13,-0.13,0,3.84,0.03,-0.03,0,8.590,2.340,-2.340,0,278.0643694,6.9456827,111.6590000,0.6270000,-0.6210000,8.2920000,0.0020000,-0.0020000,6.6040000,0.0270000,-0.0270000
HD 171238 b,HD 171238,b,1,1,0,0,Radial Velocity,2009,La Silla Observatory,0,1532.00000000,12.00000000,-12.00000000,0,2.570000,0.160000,-0.160000,0,12.500,,,0,2796.88998,1144.18227,-413.17693,0,7.870000,,,0,0.234000,0.028000,-0.028000,0,,,,,19.100,7.900,-8.500,0,G8 V,5440.00,,,0,1.01,0.07,-0.07,0,0.96,0.17,-0.17,0,4.43,0.04,-0.04,0,7.560,2.960,-2.960,0,278.6818389,-28.0727849,44.8113000,0.1117000,-0.1112000,8.6100000,0.0300000,-0.0300000,6.8310000,0.0170000,-0.0170000
HD 17156 b,HD 17156,b,1,1,0,0,Radial Velocity,2007,Subaru Telescope,0,21.21663000,0.00045000,-0.00045000,0,0.162780,0.000760,-0.000760,0,12.330,0.336,-0.336,0,1115.58330,66.74430,-66.74430,0,3.780000,0.060000,-0.060000,0,0.680000,0.000000,0.000000,0,883,11,-11,0,87.820,0.170,-0.170,0,G5,6040.00,24.00,-24.00,0,1.55,0.04,-0.04,0,1.41,0.12,-0.12,0,4.20,0.06,-0.06,0,3.370,0.200,-0.470,0,42.4366123,71.7530882,78.0863000,0.2397000,-0.2383000,8.1700000,0.0300000,-0.0300000,6.7630000,0.0240000,-0.0240000
HD 173416 b,HD 173416,b,1,1,0,0,Radial Velocity,2008,Xinglong Station,0,323.60000000,2.20000000,-2.20000000,0,1.160000,0.060000,-0.060000,0,13.200,,,0,858.10000,95.30000,-95.30000,0,2.050000,,,0,0.210000,0.040000,-0.040000,0,,,,,,,,,G8,4683.00,100.00,-100.00,0,13.50,0.90,-0.90,0,2.00,0.30,-0.30,0,2.48,0.10,-0.10,0,1.730,0.653,-0.653,0,280.9005676,36.5568570,132.1840000,0.7355000,-0.7355000,6.0418800,0.0230000,-0.0230000,3.8140000,0.3540000,-0.3540000
HD 174205 b,HD 174205,b,1,1,0,0,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,0,582.00000000,17.00000000,-17.00000000,0,1.700000,0.100000,-0.100000,0,13.000,,,0,1334.87931,158.91420,-158.91420,0,3.340000,,,0,0.400000,0.200000,-0.200000,0,,,,,,,,,K2,4308.00,25.00,-25.00,0,26.60,0.60,-0.60,0,1.80,0.10,-0.10,0,1.80,0.10,-0.10,0,1.700,0.300,-0.300,0,280.7932014,70.7928237,234.0270000,1.3920000,-1.3750000,6.2820900,0.0230000,-0.0230000,3.5740000,0.3280000,-0.3280000
HD 175167 b,HD 175167,b,1,1,0,0,Radial Velocity,2009,Las Campanas Observatory,0,1276.07604009,0.71735139,-0.67095001,0,2.306105,0.095576,-0.103006,0,12.700,,,0,2161.63039,318.15651,-222.98704,0,5.800000,,,0,0.527781,0.003647,-0.003705,0,,,,,94.637,23.512,-23.759,0,G5 IV/V,5635.00,28.00,-28.00,0,1.75,0.04,-0.04,0,1.00,0.13,-0.13,0,4.09,0.09,-0.09,0,,,,,285.0033888,-69.9450664,71.0863000,0.1691000,-0.1684000,8.0100000,0.0300000,-0.0300000,6.2880000,0.0180000,-0.0180000
HD 175541 b,HD 175541,b,1,1,0,0,Radial Velocity,2007,W. M. Keck Observatory,0,298.43000000,0.45000000,-0.45000000,0,0.975000,0.087000,-0.087000,0,14.100,,,0,190.06234,9.21707,-9.21707,0,0.373000,,,0,0.110000,0.049000,-0.049000,0,,,,,,,,,G8 IV,5013.00,,,0,4.19,,,0,1.39,,,0,3.33,,,0,1.900,1.000,-1.000,0,283.9203211,4.2649344,129.6030000,1.0065000,-1.0065000,8.0200010,0.0300000,-0.0300000,5.8290000,0.0210000,-0.0210000
HD 175607 b,HD 175607,b,1,1,0,0,Radial Velocity,2015,La Silla Observatory,0,29.01000000,0.02000000,-0.02000000,0,,,,,2.940,,,0,8.98000,1.10000,-1.10000,0,1.940000,,,0,0.110000,0.090000,-0.070000,0,,,,,,,,,G6 V,5392.00,17.00,-17.00,0,0.70,0.01,-0.01,0,0.71,0.01,-0.01,0,4.64,0.03,-0.03,0,10.320,1.580,-1.580,0,285.2742901,-66.1943379,40.3303000,0.0616000,-0.0613000,8.6000000,0.0300000,-0.0300000,6.8810000,0.0570000,-0.0570000
HD 17674 b,HD 17674,b,1,1,0,0,Radial Velocity,2017,Haute-Provence Observatory,0,623.80000000,1.60000000,-1.50000000,0,1.420000,0.040000,-0.050000,0,13.900,,,0,276.51210,22.24810,-19.06980,0,0.566000,,,0,0.130000,,,1,,,,,,,,,G0 V,5904.00,22.00,-22.00,0,1.18,0.10,-0.10,0,0.98,0.10,-0.10,0,4.34,0.03,-0.03,0,8.400,0.600,-0.600,0,42.7684964,30.2865981,44.4264000,0.0861000,-0.0859000,7.5350000,0.0190000,-0.0190000,6.0930000,0.0290000,-0.0290000
HD 176986 b,HD 176986,b,1,2,0,0,Radial Velocity,2017,Multiple Observatories,0,6.48980000,0.00086000,-0.00086000,0,0.062960,0.000130,-0.000130,0,2.260,,,0,5.74000,0.66000,-0.66000,0,2.730000,,,0,0.066000,0.066000,-0.066000,0,,,,,,,,,K2.5 V,4931.00,77.00,-77.00,0,0.78,0.04,-0.04,0,0.79,0.02,-0.02,0,4.44,0.17,-0.17,0,4.300,4.000,-4.000,0,285.7739138,-11.0449410,27.7843000,0.0483000,-0.0481000,8.4200000,0.0300000,-0.0300000,6.2200000,0.0310000,-0.0310000
HD 176986 c,HD 176986,c,1,2,0,0,Radial Velocity,2017,Multiple Observatories,0,16.81910000,0.00440000,-0.00440000,0,0.118780,0.000250,-0.000250,0,2.980,,,0,9.18000,0.97000,-0.97000,0,1.910000,,,0,0.111000,0.080000,-0.080000,0,,,,,,,,,K2.5 V,4931.00,77.00,-77.00,0,0.78,0.04,-0.04,0,0.79,0.02,-0.02,0,4.44,0.17,-0.17,0,4.300,4.000,-4.000,0,285.7739138,-11.0449410,27.7843000,0.0483000,-0.0481000,8.4200000,0.0300000,-0.0300000,6.2200000,0.0310000,-0.0310000
HD 177565 b,HD 177565,b,1,1,0,0,Radial Velocity,2017,La Silla Observatory,0,44.50500000,0.58600000,-0.29300000,0,0.246000,0.019000,-0.019000,0,4.000,,,0,15.10000,6.40000,-6.05000,0,1.300000,,,0,0.059300,0.171700,-0.057450,0,,,,,,,,,G8V,5627.00,19.00,-19.00,0,0.97,0.01,-0.02,0,1.00,0.10,-0.10,0,4.39,0.03,-0.03,0,6.880,3.360,-3.800,0,286.7175787,-37.8122394,16.9179000,0.0192000,-0.0192000,6.1500000,0.0300000,-0.0300000,4.5390000,0.0180000,-0.0180000
HD 177830 b,HD 177830,b,2,2,0,0,Radial Velocity,1999,W. M. Keck Observatory,0,410.10001000,2.20000000,-2.20000000,0,1.140000,0.030000,-0.030000,0,13.500,,,0,537.13270,63.56600,-63.56600,0,1.200000,,,0,0.100000,0.050000,-0.050000,0,,,,,,,,,K0,4901.00,37.00,-37.00,0,3.26,0.12,-0.12,0,1.70,0.28,-0.28,0,3.64,0.07,-0.07,0,4.400,2.200,-2.200,0,286.3363574,25.9204327,62.7674000,0.1244000,-0.1244000,7.1800000,0.0300000,-0.0300000,4.8090000,0.0270000,-0.0270000
HD 177830 c,HD 177830,c,2,2,0,0,Radial Velocity,2010,W. M. Keck Observatory,0,110.90000000,0.10000000,-0.10000000,0,0.513700,0.000300,-0.000300,0,7.870,,,0,47.67250,6.35633,-6.35633,0,0.537000,,,0,0.300000,0.100000,-0.100000,0,,,,,,,,,K0,4949.00,,,0,2.62,0.06,-0.06,0,1.47,,,0,3.65,,,0,4.400,2.200,-2.200,0,286.3363574,25.9204327,62.7674000,0.1244000,-0.1244000,7.1800000,0.0300000,-0.0300000,4.8090000,0.0270000,-0.0270000
HD 178911 B b,HD 178911 B,b,3,1,0,0,Radial Velocity,2001,W. M. Keck Observatory,0,71.48400000,0.02000000,-0.02000000,0,0.340000,0.010000,-0.010000,0,12.600,,,0,2552.17490,797.75330,-797.75330,0,7.010000,,,0,0.110000,0.000000,0.000000,0,,,,,,,,,G5,5588.00,115.00,-115.00,0,1.08,0.05,-0.05,0,1.24,0.58,-0.58,0,4.46,0.20,-0.20,0,,,,,287.2632091,34.6006972,40.9727000,0.0464000,-0.0462000,7.9700000,0.0300000,-0.0300000,6.3750000,0.0230000,-0.0230000
HD 179079 b,HD 179079,b,1,1,0,0,Radial Velocity,2008,W. M. Keck Observatory,0,14.47900000,0.01000000,-0.01000000,0,0.121400,0.006800,-0.006800,0,5.480,,,0,25.74423,6.35660,-6.35660,0,0.860000,,,0,0.049000,0.087000,-0.087000,0,,,,,,,,,G5 IV,5646.00,,,0,1.63,0.09,-0.09,0,1.14,0.19,-0.19,0,4.16,0.03,-0.03,0,6.990,0.710,-0.710,0,287.7903733,-2.6387703,69.7116000,0.3982000,-0.3938000,7.9500000,0.0300000,-0.0300000,6.3110000,0.0260000,-0.0260000
HD 179949 b,HD 179949,b,1,1,0,0,Radial Velocity,2000,Anglo-Australian Telescope,0,3.09251400,0.00003200,-0.00003200,0,0.044300,0.002600,-0.002600,0,13.900,,,0,291.12000,24.15400,-24.15400,0,0.596000,,,0,0.022000,0.015000,-0.015000,0,,,,,,,,,F8 V,6168.00,,,0,1.27,0.03,-0.03,0,1.21,,,0,4.34,,,0,1.000,0.000,-1.000,1,288.8890182,-24.1797939,27.4573000,0.0578000,-0.0577000,6.2500000,0.0300000,-0.0300000,4.9360000,0.0180000,-0.0180000
HD 180053 b,HD 180053,b,1,1,0,0,Radial Velocity,2018,W. M. Keck Observatory,0,213.72000000,0.47000000,-0.47000000,0,0.843000,0.063000,-0.063000,0,13.300,,,0,697.31902,20.34112,-20.34112,0,1.630000,,,0,0.081000,0.029000,-0.029000,0,,,,,,,,,K0,5131.00,,,0,4.06,,,0,1.75,,,0,3.54,,,0,,,,,288.4008374,34.9146658,137.0430000,0.6090000,-0.6090000,7.9300000,0.0300000,-0.0300000,5.8400000,0.0170000,-0.0170000
HD 18015 b,HD 18015,b,1,1,0,0,Radial Velocity,2018,W. M. Keck Observatory,0,2278.00000000,71.00000000,-71.00000000,0,3.870000,0.320000,-0.320000,0,13.100,,,0,1010.69940,73.10090,-73.10090,0,2.470000,,,0,0.148000,0.061000,-0.061000,0,,,,,,,,,G6 IV,5603.00,,,0,3.13,,,0,1.49,,,0,3.64,,,0,,,,,43.3636339,-8.8480392,123.8010000,0.7975000,-0.7975000,7.8900000,0.0300000,-0.0300000,6.2040000,0.0200000,-0.0200000
HD 180314 b,HD 180314,b,1,1,0,0,Radial Velocity,2010,Subaru Telescope,0,396.03000000,0.62000000,-0.62000000,0,1.460000,0.060000,-0.060000,0,12.100,,,0,6397.91790,527.59780,-527.59780,0,19.800000,,,0,0.260000,0.010000,-0.010000,0,,,,,,,,,K0,4924.00,25.00,-25.00,0,8.13,0.30,-0.30,0,2.20,0.27,-0.27,0,2.96,0.04,-0.04,0,1.295,0.234,-0.234,0,288.7094401,31.8604391,122.3620000,0.4490000,-0.4490000,6.6151900,0.0230000,-0.0230000,4.3120000,0.0200000,-0.0200000
HD 180617 b,HD 180617,b,2,1,0,0,Radial Velocity,2018,Calar Alto Observatory,0,105.91100000,0.10900000,-0.10900000,0,0.343000,0.004000,-0.004000,0,3.530,,,0,12.21400,1.05000,-1.05000,0,1.530000,,,0,0.101000,0.053000,-0.053000,0,,,,,,,,,M2.5 V,3534.00,51.00,-51.00,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,4.90,0.07,-0.07,0,,,,,289.2277322,5.1631615,5.9105900,0.0018300,-0.0018300,9.1200000,0.1000000,-0.1000000,4.6730000,0.0200000,-0.0200000
HD 180902 b,HD 180902,b,2,1,0,0,Radial Velocity,2009,W. M. Keck Observatory,0,510.90000000,1.50000000,-1.50000000,0,1.400000,0.110000,-0.110000,0,13.500,,,0,535.54355,13.03103,-13.03103,0,1.200000,,,0,0.107000,0.022000,-0.022000,0,,,,,,,,,K0 III/IV,4961.00,,,0,4.16,,,0,1.41,,,0,3.36,,,0,2.800,0.700,-0.700,0,289.8239604,-23.5582432,104.5770000,0.5735000,-0.5735000,7.7800000,0.0300000,-0.0300000,5.5430000,0.0200000,-0.0200000
HD 181234 b,HD 181234,b,1,1,0,0,Radial Velocity,2019,La Silla Observatory,0,7593.40511644,113.61020175,-121.82598419,0,7.420228,0.310584,-0.333381,0,12.500,,,0,2981.01296,320.93042,-315.74840,0,8.390000,,,0,0.726356,0.010404,-0.009905,0,,,,,98.732,24.466,-41.610,0,G5,5386.00,60.00,-60.00,0,1.06,0.02,-0.02,0,0.94,0.12,-0.12,0,4.37,0.03,-0.03,0,6.320,2.580,-2.580,0,289.9998695,-9.3249700,47.7458000,0.1298000,-0.1290000,8.5900000,0.0300000,-0.0300000,6.6890000,0.0200000,-0.0200000
HD 181342 b,HD 181342,b,1,1,0,0,Radial Velocity,2009,W. M. Keck Observatory,0,564.10000000,4.10000000,-4.10000000,0,1.592000,0.091000,-0.091000,0,13.200,,,0,807.28820,60.38770,-60.38770,0,1.930000,,,0,0.022000,0.051000,-0.051000,0,,,,,,,,,K0 III,4945.00,,,0,4.71,,,0,1.69,,,0,3.28,,,0,1.800,0.400,-0.400,0,290.2674078,-23.6196996,120.3910000,0.6940000,-0.6940000,7.5500000,0.0300000,-0.0300000,5.2510000,0.0200000,-0.0200000
HD 18143 b,HD 18143,b,1,2,0,0,Radial Velocity,2022,Multiple Observatories,0,10.28510117,0.00213303,-0.00262898,0,0.087639,0.003445,-0.003692,0,3.230,,,0,10.50968,1.89917,-1.93844,0,1.710000,,,0,0.224176,0.170991,-0.121999,0,,,,,,,,,K2,5078.00,114.96,-141.00,0,0.87,0.03,-0.03,0,0.85,0.10,-0.10,0,4.51,0.04,-0.01,0,9.400,,,0,43.9140248,26.8723829,22.5243000,0.0230000,-0.0230000,7.5180000,0.0910000,-0.0910000,5.4270000,0.0180000,-0.0180000
HD 18143 c,HD 18143,c,1,2,0,0,Radial Velocity,2022,Multiple Observatories,0,28982.41764205,18264.56730839,-7978.16708521,0,17.521435,6.595616,-3.437809,0,12.500,,,0,3115.44391,685.46960,-532.34641,0,8.770000,,,0,0.194257,0.021206,-0.096677,0,,,,,35.980,2.853,-1.948,0,K2,5078.00,114.96,-141.00,0,0.87,0.03,-0.03,0,0.85,0.10,-0.10,0,4.51,0.04,-0.01,0,9.400,,,0,43.9140248,26.8723829,22.5243000,0.0230000,-0.0230000,7.5180000,0.0910000,-0.0910000,5.4270000,0.0180000,-0.0180000
